DBN,NAME,ENROLLMENT,ATTENDANCE_RATE,MIX_RATE,SAFETY_RATE,COLLEGE_RATE,GRADUATION_RATE
01M292,Orchard Collegiate Academy,"171",0.87,0.78,0.93,0.66,0.66
01M448,University Neighborhood High School,"465",0.93,0.73,0.92,0.9,0.9
01M450,East Side Community School,"683",0.94,0.95,0.94,0.92,0.92
01M509,Marta Valle High School,"148",0.79,0.64,0.89,0.74,0.74
01M539,"New Explorations into Science, Technology and Math High School (NEST+m)","1,734",0.95,0.77,0.89,0.97,0.97
01M696,Bard High School Early College,"588",0.95,0.9,0.96,0.99,0.99
02M047,47 The American Sign Language and English Secondary School,"165",0.86,0.55,0.92,0.91,0.91
02M135,The Urban Assembly School for Emergency Management,"281",0.83,0.67,0.86,,0.74
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,"394",0.87,0.84,0.86,,0.83
02M260,The Clinton School,"604",0.97,0.84,0.96,,
02M280,Manhattan Early College School for Advertising,"367",0.92,0.85,0.86,,
02M282,Urban Assembly Maker Academy,"386",0.89,0.8,0.86,,
02M288,Food and Finance High School,"378",0.9,0.51,0.77,0.91,0.91
02M294,Essex Street Academy,"340",0.87,0.87,0.96,0.83,0.83
02M296,High School of Hospitality Management,"391",0.82,0.46,0.88,0.7,0.7
02M298,Pace High School,"537",0.87,0.83,0.91,0.86,0.86
02M300,The Urban Assembly School of Design and Construction,"356",0.83,0.68,0.82,0.59,0.59
02M303,The Facing History School,"382",0.82,0.82,0.92,0.76,0.76
02M305,The Urban Assembly Academy of Government and Law,"307",0.84,0.55,0.84,0.84,0.84
02M308,Lower Manhattan Arts Academy,"329",0.88,0.86,0.86,0.81,0.81
02M316,The Urban Assembly School of Business for Young Women,"232",0.83,0.24,0.81,0.75,0.75
02M374,Gramercy Arts High School,"491",0.84,0.45,0.73,0.81,0.81
02M376,NYC iSchool,"457",0.93,0.91,0.95,0.98,0.98
02M392,Manhattan Business Academy,"423",0.87,0.83,0.88,0.86,0.86
02M393,Business of Sports School (BOSS),"426",0.84,0.85,0.88,0.82,0.82
02M399,The High School For Language and Diplomacy,"327",0.82,0.49,0.76,0.81,0.81
02M400,High School for Environmental Studies,"1,194",0.85,0.84,0.84,0.8,0.8
02M407,Institute for Collaborative Education (ICE),"492",0.92,0.9,0.91,0.87,0.87
02M408,Professional Performing Arts High School (PPAS),"565",0.93,0.73,0.96,0.93,0.93
02M411,Baruch College Campus High School,"460",0.97,0.75,0.95,1,1
02M412,N.Y.C. Lab School for Collaborative Studies,"498",0.94,0.83,0.94,0.97,0.97
02M413,School of the Future High School,"750",0.94,0.76,0.9,0.99,0.99
02M414,N.Y.C. Museum School,"450",0.94,0.42,0.94,1,1
02M416,Eleanor Roosevelt High School,"541",0.96,0.94,0.98,1,1
02M418,Millennium High School,"666",0.96,0.71,0.95,0.99,0.99
02M419,Landmark High School,"348",0.81,0.66,0.85,0.65,0.65
02M420,High School for Health Professions and Human Services,"1,819",0.92,0.88,0.93,0.94,0.94
02M422,Quest to Learn,"586",0.88,0.72,0.74,0.84,0.84
02M425,Leadership and Public Service High School,"523",0.83,0.57,0.86,0.7,0.7
02M427,Manhattan Academy for Arts & Language,"269",0.86,0.78,0.82,0.52,0.52
02M437,Hudson High School of Learning Technologies,"476",0.79,0.76,0.83,0.64,0.64
02M438,International High School at Union Square,"360",0.87,0.85,0.87,0.66,0.66
02M439,Manhattan Village Academy,"456",0.98,0.53,0.93,0.99,0.99
02M449,Vanguard High School,"446",0.87,0.85,0.93,0.74,0.74
02M459,Manhattan International High School,"337",0.89,0.86,0.93,0.74,0.74
02M475,Stuyvesant High School,"3,336",0.97,0.95,0.97,0.98,0.98
02M489,High School of Economics and Finance,"738",0.88,0.71,0.83,0.9,0.9
02M500,Unity Center for Urban Technologies,"255",0.84,0.64,0.89,0.77,0.77
02M507,Urban Assembly Gateway School for Technology,"445",0.89,0.86,0.91,0.87,0.87
02M519,Talent Unlimited High School,"478",0.93,0.69,0.91,0.97,0.97
02M520,Murry Bergtraum High School for Business Careers,"271",0.83,0.73,0.8,0.54,0.54
02M529,Jacqueline Kennedy Onassis High School,"567",0.79,0.41,0.8,0.64,0.64
02M531,Repertory Company High School for Theatre Arts,"242",0.91,0.68,0.85,0.96,0.96
02M533,Union Square Academy for Health Sciences,"398",0.88,0.72,0.81,0.87,0.87
02M534,Harvest Collegiate High School,"487",0.85,0.85,0.83,0.87,0.87
02M542,Manhattan Bridges High School,"517",0.92,0.86,0.9,0.85,0.85
02M543,New Design High School,"427",0.86,0.69,0.92,0.92,0.92
02M545,High School for Dual Language and Asian Studies,"396",0.98,0.67,0.92,1,1
02M546,Academy for Software Engineering (AFSE),"460",0.9,0.78,0.87,0.85,0.85
02M551,Urban Assembly New York Harbor School,"534",0.91,0.88,0.96,0.77,0.77
02M580,Richard R. Green High School of Teaching,"499",0.87,0.75,0.85,0.68,0.68
02M600,The High School of Fashion Industries,"1,590",0.91,0.91,0.86,0.93,0.93
02M615,Chelsea Career and Technical Education High School,"430",0.86,0.66,0.91,0.75,0.75
