DBN,NAME,TYPE,GRADES,DISTRICT,TEL,WEBSITE,SUBWAY,BUS,URL,LAT,LON,address
17K002,Parkside Preparatory Academy,Junior High-Intermediate-Middle,"06,07,08,SE","17",718-462-6992,https://www.facebook.com/parkside-preparatory-academy-at-MS-2-121181564636872,"2, 5 to Winthrop St","B12, B35, B41, B44, B44-SBS, B49",https://tools.nycenet.edu/snapshot/2019/17K002/EMS,40.656372,-73.951784,"655 Parkside Avenue, Brooklyn NY 11226"
13K008,P.S. 008 Robert Fulton,K-8,"0K,01,02,03,04,05,08,SE","13",718-834-6740,https://www.ps8brooklyn.org,"F to York St; A, C to High St; 4, 5, R to Court St - CITY Hall; 2, 3 to Clark St","B103, B25, B26, B38, B41, B52, B54, B57, B62, B67, B69",https://tools.nycenet.edu/snapshot/2019/13K008/EMS,40.700475,-73.99313,"105 Tech Place, Brooklyn NY 11201"
22K014,J.H.S. 014 Shell Bank,Junior High-Intermediate-Middle,"06,07,08,SE","22",718-743-0220,https://www.shellbank.weebly.com,N/A,"B3, B31, B36, B4, B44, B44-SBS, BM3, BM4",https://tools.nycenet.edu/snapshot/2019/22K014/EMS,40.59349,-73.938086,"2424 Batchelder Street, Brooklyn NY 11235"
20K030,P.S./I.S. 30 Mary White Ovington,K-8,"0K,01,02,03,04,05,06,07,08,SE","20",718-491-8440,https://www.psis30pta.org,R to Bay Ridge Ave,"B37, B4, B63, B64, B70, B9, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X31, X37, X38, X4, X42, X5, X7, X8, X9",https://tools.nycenet.edu/snapshot/2019/20K030/EMS,40.633572,-74.023737,"7002 4th Avenue, Brooklyn NY 11209"
16K035,M.S. 035 Stephen Decatur,Junior High-Intermediate-Middle,"06,07,08,SE","16",718-574-2345,https://www.schools.nyc.gov/Find-a-School,"A, C to Utica Ave","B15, B25, B26, B43, B46, B46-SBS, B52, B65",https://tools.nycenet.edu/snapshot/2019/16K035/EMS,40.681327,-73.936186,"272 Macdonough Street, Brooklyn NY 11233"
23K041,P.S. 041 Francis White,K-8,"0K,01,02,03,04,05,06,07,08,SE","23",718-495-7732,https://www.schools.nyc.gov/Find-a-School,"L to New Lots Ave; 3 to Rockaway Ave","B14, B15, B35, B60, B7, B8",https://tools.nycenet.edu/snapshot/2019/23K041/EMS,40.660513,-73.907034,"411 Thatford Avenue, Brooklyn NY 11212"
23K041,P.S. 041 Francis White,K-8,"0K,01,02,03,04,05,06,07,08,SE","23",718-495-7732,https://www.schools.nyc.gov/Find-a-School,"L to New Lots Ave; 3 to Rockaway Ave","B14, B15, B35, B60, B7, B8",https://tools.nycenet.edu/snapshot/2019/23K041/EMS,40.660649,-73.906648,"411 Thatford Avenue, Brooklyn NY 11212"
32K045,P.S./I.S. 045 Horace E. Greene,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","32",718-574-0235,https://www.schools.nyc.gov/Find-a-School,"L to Wilson Ave; J to Chauncey St","B20, B26, B60, B7, Q24",https://tools.nycenet.edu/snapshot/2019/32K045/EMS,40.686457,-73.910245,"84 Schaefer Street, Brooklyn NY 11207"
14K050,J.H.S. 050 John D. Wells,Junior High-Intermediate-Middle,"06,07,08,SE","14",718-387-4184,https://www.schools.nyc.gov/Find-a-School,"L to Bedford Ave; J, M, Z to Marcy Ave; G to Metropolitan Ave-Lorimer St","B24, B32, B39, B44, B44-SBS, B46, B60, B62, Q54, Q59",https://tools.nycenet.edu/snapshot/2019/14K050/EMS,40.711701,-73.960155,"183 South 3rd Street, Brooklyn NY 11211"
15K051,M.S. 51 William Alexander,Junior High-Intermediate-Middle,"06,07,08,SE","15",718-369-7603,https://www.ms51.org,"F, G, R to 4th Ave - 9th St","B103, B37, B61, B63, B67, B69",https://tools.nycenet.edu/snapshot/2019/15K051/EMS,40.67227,-73.985121,"350 5th Avenue, Brooklyn NY 11215"
