DBN,ATTENDANCE_RATE
09X404,0.66
09X543,0.71
19K504,0.74
08X282,0.75
07X522,0.76
09X517,0.76
12X248,0.76
12X479,0.76
13K265,0.76
19K660,0.76
07X548,0.77
07X670,0.77
08X559,0.77
14K477,0.77
07X473,0.78
08X367,0.78
10X546,0.78
16K688,0.78
16K765,0.78
32K549,0.78
01M509,0.79
02M437,0.79
02M529,0.79
06M346,0.79
07X427,0.79
09X263,0.79
12X271,0.79
12X521,0.79
19K639,0.79
02M655,0.8
05M304,0.8
07X551,0.8
08X376,0.8
08X452,0.8
08X530,0.8
09X403,0.8
10X284,0.8
10X351,0.8
12X550,0.8
12X682,0.8
13K499,0.8
15K497,0.8
15K519,0.8
19K502,0.8
23K697,0.8
29Q492,0.8
32K403,0.8
02M419,0.81
03M415,0.81
05M369,0.81
08X432,0.81
08X561,0.81
11X253,0.81
11X265,0.81
11X270,0.81
12X251,0.81
12X511,0.81
12X684,0.81
13K350,0.81
14K586,0.81
14K610,0.81
18K642,0.81
19K510,0.81
21K348,0.81
27Q324,0.81
32K556,0.81
02M296,0.82
02M303,0.82
02M399,0.82
03M494,0.82
03M860,0.82
08X293,0.82
09X412,0.82
09X525,0.82
10X213,0.82
10X237,0.82
10X433,0.82
10X439,0.82
11X545,0.82
13K412,0.82
14K685,0.82
17K408,0.82
18K567,0.82
18K637,0.82
21K620,0.82
23K514,0.82
27Q351,0.82
27Q400,0.82
02M135,0.83
02M300,0.83
02M316,0.83
02M425,0.83
02M520,0.83
03M299,0.83
07X259,0.83
08X320,0.83
08X349,0.83
08X405,0.83
10X524,0.83
10X565,0.83
17K548,0.83
17K751,0.83
22K611,0.83
24Q485,0.83
27Q260,0.83
29Q248,0.83
02M305,0.84
02M374,0.84
02M393,0.84
02M500,0.84
03M307,0.84
03M402,0.84
03M492,0.84
06M348,0.84
06M540,0.84
07X527,0.84
07X600,0.84
08X269,0.84
09X297,0.84
09X329,0.84
09X564,0.84
10X243,0.84
10X440,0.84
11X418,0.84
11X508,0.84
14K474,0.84
15K448,0.84
15K463,0.84
17K382,0.84
17K539,0.84
19K615,0.84
19K683,0.84
27Q302,0.84
27Q314,0.84
02M400,0.85
02M534,0.85
05M157,0.85
06M462,0.85
08X312,0.85
09X227,0.85
09X250,0.85
09X252,0.85
09X324,0.85
10X225,0.85
14K454,0.85
14K478,0.85
15K462,0.85
15K592,0.85
16K455,0.85
16K498,0.85
23K493,0.85
25Q460,0.85
28Q325,0.85
29Q283,0.85
31R450,0.85
02M047,0.86
02M427,0.86
02M543,0.86
02M615,0.86
03M403,0.86
04M372,0.86
09X241,0.86
11X299,0.86
11X544,0.86
14K488,0.86
18K617,0.86
19K507,0.86
21K344,0.86
21K410,0.86
25Q425,0.86
27Q309,0.86
27Q480,0.86
29Q326,0.86
29Q498,0.86
30Q450,0.86
31R445,0.86
01M292,0.87
02M139,0.87
02M294,0.87
02M298,0.87
02M392,0.87
02M438,0.87
02M449,0.87
02M580,0.87
06M468,0.87
08X348,0.87
08X558,0.87
09X231,0.87
10X268,0.87
11X275,0.87
11X509,0.87
13K527,0.87
14K071,0.87
15K464,0.87
15K667,0.87
18K629,0.87
19K764,0.87
20K445,0.87
21K572,0.87
21K690,0.87
26Q435,0.87
27Q475,0.87
28Q328,0.87
28Q505,0.87
29Q265,0.87
29Q313,0.87
31R440,0.87
31R600,0.87
32K545,0.87
02M308,0.88
02M422,0.88
02M489,0.88
02M533,0.88
04M680,0.88
06M467,0.88
09X327,0.88
10X264,0.88
10X374,0.88
10X549,0.88
11X290,0.88
12X242,0.88
12X388,0.88
13K605,0.88
13K670,0.88
14K614,0.88
17K524,0.88
17K537,0.88
18K576,0.88
19K404,0.88
19K409,0.88
19K618,0.88
21K540,0.88
21K559,0.88
24Q236,0.88
28Q350,0.88
29Q272,0.88
32K168,0.88
02M282,0.89
02M459,0.89
02M507,0.89
05M148,0.89
05M499,0.89
07X334,0.89
09X365,0.89
10X353,0.89
10X434,0.89
12X478,0.89
13K674,0.89
15K429,0.89
17K600,0.89
17K590,0.89
18K569,0.89
19K659,0.89
20K505,0.89
21K337,0.89
24Q267,0.89
25Q240,0.89
27Q262,0.89
27Q334,0.89
28Q310,0.89
28Q690,0.89
29Q243,0.89
30Q445,0.89
30Q555,0.89
32K552,0.89
02M288,0.9
02M546,0.9
02M630,0.9
06M463,0.9
07X223,0.9
10X438,0.9
11X288,0.9
11X455,0.9
11X542,0.9
12X267,0.9
14K561,0.9
17K528,0.9
17K547,0.9
19K583,0.9
20K490,0.9
20K609,0.9
23K644,0.9
24Q293,0.9
24Q455,0.9
24Q600,0.9
25Q670,0.9
26Q315,0.9
28Q440,0.9
30Q502,0.9
31R460,0.9
02M531,0.91
02M551,0.91
02M600,0.91
05M670,0.91
06M211,0.91
07X500,0.91
09X260,0.91
09X505,0.91
10X342,0.91
10X368,0.91
10X437,0.91
10X442,0.91
11X514,0.91
13K483,0.91
14K558,0.91
18K563,0.91
18K566,0.91
18K633,0.91
21K468,0.91
21K525,0.91
25Q263,0.91
25Q281,0.91
26Q566,0.91
29Q259,0.91
29Q327,0.91
31R064,0.91
31R455,0.91
02M280,0.92
02M407,0.92
02M420,0.92
02M542,0.92
06M552,0.92
07X221,0.92
09X568,0.92
10X141,0.92
13K439,0.92
15K656,0.92
17K531,0.92
19K422,0.92
22K405,0.92
24Q296,0.92
24Q520,0.92
24Q530,0.92
24Q550,0.92
24Q560,0.92
24Q585,0.92
26Q415,0.92
26Q430,0.92
27Q308,0.92
31R080,0.92
01M448,0.93
02M376,0.93
02M408,0.93
02M519,0.93
03M417,0.93
04M435,0.93
07X495,0.93
09X413,0.93
10X477,0.93
11X249,0.93
11X513,0.93
13K419,0.93
13K595,0.93
14K449,0.93
17K122,0.93
17K546,0.93
17K745,0.93
20K485,0.93
24Q264,0.93
25Q252,0.93
25Q285,0.93
26Q495,0.93
28Q167,0.93
28Q620,0.93
30Q301,0.93
30Q501,0.93
32K554,0.93
01M450,0.94
02M412,0.94
02M413,0.94
02M414,0.94
04M495,0.94
04M610,0.94
05M362,0.94
06M293,0.94
15K684,0.94
22K425,0.94
27Q650,0.94
28Q896,0.94
30Q258,0.94
30Q286,0.94
30Q575,0.94
01M539,0.95
01M696,0.95
03M485,0.95
03M859,0.95
04M555,0.95
22K555,0.95
25Q241,0.95
27Q323,0.95
28Q284,0.95
28Q680,0.95
30Q580,0.95
31R047,0.95
02M416,0.96
02M418,0.96
03M479,0.96
05M692,0.96
13K430,0.96
17K543,0.96
22K535,0.96
02M260,0.97
02M411,0.97
02M475,0.97
03M541,0.97
10X445,0.97
10X696,0.97
24Q299,0.97
25Q525,0.97
28Q687,0.97
31R605,0.97
02M439,0.98
02M545,0.98
