DBN,COLLEGE_RATE
10X524,0.15
14K610,0.18
12X550,0.21
21K620,0.22
14K071,0.23
27Q400,0.24
16K455,0.25
16K688,0.26
09X412,0.28
19K683,0.28
08X530,0.29
12X479,0.29
14K477,0.3
17K408,0.3
27Q324,0.3
31R600,0.3
27Q302,0.31
10X268,0.32
10X438,0.32
14K454,0.32
19K502,0.32
27Q309,0.32
09X227,0.33
09X329,0.33
11X544,0.33
17K528,0.33
18K642,0.33
19K660,0.33
03M494,0.34
09X517,0.34
10X440,0.34
19K504,0.34
27Q260,0.34
32K552,0.34
06M463,0.35
08X405,0.35
09X404,0.35
12X684,0.35
24Q296,0.35
01M292,0.36
02M419,0.36
05M304,0.36
08X452,0.36
31R445,0.36
07X600,0.37
12X251,0.37
12X682,0.37
23K514,0.37
06M462,0.38
07X522,0.38
11X418,0.38
11X455,0.38
18K629,0.38
02M520,0.39
03M860,0.39
06M468,0.39
08X376,0.39
11X514,0.39
13K605,0.39
17K537,0.39
27Q351,0.39
03M299,0.4
03M415,0.4
10X284,0.4
11X270,0.4
14K586,0.4
32K545,0.4
04M372,0.41
04M680,0.41
09X403,0.41
10X433,0.41
11X265,0.41
19K507,0.41
29Q492,0.41
06M467,0.42
07X334,0.42
08X282,0.42
08X432,0.42
08X559,0.42
14K474,0.42
19K639,0.42
25Q460,0.42
27Q475,0.42
32K556,0.42
02M427,0.43
03M402,0.43
07X551,0.43
08X293,0.43
08X367,0.43
09X543,0.43
12X248,0.43
18K569,0.43
24Q485,0.43
26Q435,0.43
02M425,0.44
08X312,0.44
09X525,0.44
32K403,0.44
08X348,0.45
08X561,0.45
09X263,0.45
13K265,0.45
19K615,0.45
21K410,0.45
27Q480,0.45
29Q498,0.45
30Q450,0.45
02M529,0.46
09X297,0.46
10X546,0.46
10X549,0.46
11X253,0.46
11X545,0.46
18K567,0.46
02M300,0.47
02M655,0.47
10X342,0.47
14K685,0.47
07X473,0.48
10X565,0.48
18K637,0.48
19K618,0.48
21K348,0.48
31R450,0.48
32K549,0.48
01M509,0.49
02M316,0.49
06M552,0.49
09X564,0.49
16K498,0.49
17K382,0.49
17K531,0.49
17K539,0.49
19K583,0.49
23K697,0.49
24Q455,0.49
08X269,0.5
11X508,0.5
12X511,0.5
23K493,0.5
02M449,0.51
08X320,0.51
11X509,0.51
15K667,0.51
18K566,0.51
19K659,0.51
20K505,0.51
21K337,0.51
02M438,0.52
17K600,0.52
19K510,0.52
29Q248,0.52
29Q265,0.52
30Q445,0.52
02M580,0.53
06M540,0.53
07X427,0.53
07X670,0.53
10X213,0.53
12X521,0.53
13K412,0.53
17K524,0.53
18K576,0.53
18K617,0.53
28Q325,0.53
02M296,0.54
02M437,0.54
03M307,0.54
06M346,0.54
09X252,0.54
10X243,0.54
13K499,0.54
21K344,0.54
02M303,0.55
10X439,0.55
15K462,0.55
15K519,0.55
17K548,0.55
23K644,0.55
25Q425,0.55
30Q555,0.55
02M422,0.56
02M459,0.56
06M348,0.56
14K558,0.56
15K497,0.56
17K751,0.56
28Q328,0.56
31R440,0.56
02M374,0.57
02M551,0.57
02M615,0.57
07X548,0.57
09X250,0.57
12X271,0.57
15K592,0.57
17K547,0.57
21K540,0.57
29Q259,0.57
02M308,0.58
02M543,0.58
07X221,0.58
05M499,0.59
11X290,0.59
12X388,0.59
20K445,0.59
28Q505,0.59
29Q283,0.59
30Q502,0.59
31R080,0.59
03M403,0.6
05M670,0.6
08X558,0.6
11X299,0.6
12X478,0.6
13K350,0.6
21K559,0.6
02M305,0.61
14K478,0.61
15K463,0.61
02M047,0.62
11X275,0.62
13K527,0.62
24Q600,0.62
31R455,0.62
02M393,0.63
03M492,0.63
10X434,0.63
13K439,0.63
22K611,0.63
28Q310,0.63
28Q690,0.63
02M500,0.64
07X527,0.64
09X231,0.64
10X374,0.64
15K656,0.64
17K745,0.64
21K525,0.64
22K425,0.64
10X225,0.65
21K690,0.65
24Q267,0.65
25Q263,0.65
27Q308,0.65
02M630,0.66
15K464,0.66
29Q272,0.66
02M288,0.67
02M400,0.67
10X351,0.67
25Q670,0.67
05M369,0.68
10X237,0.68
11X542,0.68
13K419,0.68
17K122,0.68
19K409,0.68
24Q550,0.68
32K168,0.68
04M495,0.69
10X264,0.69
12X242,0.69
14K488,0.69
18K633,0.69
26Q315,0.69
01M448,0.7
10X442,0.7
20K490,0.7
21K572,0.7
02M135,0.71
07X223,0.71
09X505,0.71
10X141,0.71
15K429,0.71
20K485,0.71
02M399,0.72
02M420,0.72
02M507,0.72
09X324,0.72
09X327,0.72
10X437,0.72
16K765,0.72
30Q575,0.72
06M211,0.73
19K404,0.73
27Q262,0.73
28Q350,0.73
28Q440,0.73
28Q620,0.73
31R460,0.73
32K554,0.73
02M294,0.74
02M408,0.74
09X365,0.74
14K561,0.74
15K448,0.74
02M407,0.75
02M519,0.75
08X349,0.75
09X260,0.75
22K535,0.75
26Q430,0.75
27Q314,0.75
29Q326,0.75
05M148,0.76
09X241,0.76
13K483,0.76
18K563,0.76
24Q293,0.76
01M450,0.77
02M298,0.77
02M392,0.77
07X259,0.77
07X500,0.77
11X513,0.77
13K674,0.77
24Q264,0.77
24Q520,0.77
26Q415,0.77
27Q334,0.77
02M280,0.78
02M542,0.78
03M417,0.78
07X495,0.78
10X368,0.78
24Q236,0.78
02M413,0.79
02M533,0.79
02M534,0.79
02M600,0.79
05M157,0.79
10X353,0.79
19K764,0.79
26Q566,0.79
31R064,0.79
04M435,0.8
13K670,0.8
17K590,0.8
24Q530,0.8
11X288,0.81
20K609,0.81
22K405,0.81
29Q327,0.81
30Q301,0.81
02M489,0.82
02M546,0.82
03M485,0.82
03M859,0.82
09X568,0.82
10X477,0.82
12X267,0.82
24Q560,0.82
27Q650,0.82
02M282,0.83
09X413,0.83
17K543,0.83
29Q243,0.83
02M139,0.84
17K546,0.84
19K422,0.84
24Q585,0.84
26Q495,0.84
28Q896,0.84
01M539,0.85
14K449,0.85
25Q240,0.85
25Q285,0.85
29Q313,0.85
02M545,0.86
02M260,0.87
02M412,0.87
02M531,0.87
03M479,0.87
11X249,0.87
25Q281,0.87
03M541,0.88
04M555,0.88
05M362,0.88
06M293,0.88
13K595,0.88
15K684,0.88
31R605,0.88
21K468,0.89
02M414,0.9
02M416,0.9
28Q167,0.9
02M376,0.91
02M418,0.91
02M439,0.91
28Q687,0.91
28Q680,0.92
30Q258,0.92
30Q286,0.92
31R047,0.92
25Q241,0.93
02M411,0.94
24Q299,0.94
28Q284,0.94
13K430,0.95
22K555,0.95
30Q501,0.95
30Q580,0.95
04M610,0.97
14K614,0.97
25Q252,0.97
01M696,0.98
02M475,0.98
10X445,0.98
27Q323,0.98
05M692,0.99
10X696,1
25Q525,1
