DBN,ENROLLMENT
16K688,135
01M509,148
23K514,157
02M047,165
01M292,171
13K499,193
18K566,195
17K528,197
32K552,197
08X530,199
15K429,206
17K408,208
15K463,215
13K350,221
02M316,232
14K685,236
05M157,241
02M531,242
21K348,242
19K583,243
23K697,250
19K659,251
12X479,254
02M500,255
18K617,255
19K510,262
09X543,264
19K504,264
09X329,266
02M427,269
14K454,269
32K168,269
15K592,270
02M520,271
23K493,271
32K403,272
16K765,273
03M415,278
18K642,278
02M135,281
08X282,281
32K556,281
09X412,284
18K637,285
19K683,287
12X478,290
04M680,294
17K548,296
05M304,297
21K559,303
27Q324,303
08X559,305
02M305,307
24Q236,307
03M402,311
19K764,313
03M859,314
11X249,315
05M148,318
18K629,319
09X365,323
02M399,327
02M308,329
27Q314,329
27Q351,329
07X427,330
19K502,333
27Q400,334
10X524,335
14K477,335
02M459,337
21K337,337
11X253,338
02M294,340
08X432,341
10X438,342
11X545,346
21K572,347
02M419,348
27Q260,349
12X251,351
18K569,353
29Q326,353
03M860,354
13K439,354
17K539,354
02M300,356
05M369,356
10X437,356
07X473,358
17K751,359
02M438,360
18K567,362
11X509,363
13K595,364
32K549,364
02M280,367
13K265,370
09X263,372
17K547,373
09X404,375
06M211,376
08X348,376
11X270,377
02M288,378
03M299,378
10X284,380
17K745,381
02M303,382
09X564,382
19K639,384
02M282,386
09X252,387
10X546,389
27Q334,390
02M296,391
02M139,394
11X290,395
02M545,396
09X227,396
03M307,397
29Q313,397
02M533,398
10X213,399
11X265,399
14K610,399
10X696,400
09X297,401
18K576,401
10X434,402
11X513,403
19K618,403
08X376,404
08X349,405
11X514,405
04M495,406
14K614,406
19K660,407
06M463,408
10X439,409
10X565,410
03M417,411
12X248,411
09X403,414
29Q248,415
29Q492,415
17K524,417
24Q267,417
29Q243,420
17K382,422
26Q315,422
02M392,423
09X517,424
18K633,424
13K412,425
02M393,426
10X264,426
02M543,427
10X442,427
22K611,427
25Q241,427
16K455,428
12X511,429
12X521,429
02M615,430
08X312,432
09X250,432
09X413,433
32K554,435
03M403,436
07X334,436
10X477,437
13K674,439
15K462,439
31R064,439
11X418,441
17K531,441
03M541,442
25Q263,442
27Q302,443
02M507,445
02M449,446
11X544,446
10X433,447
12X550,448
13K483,449
24Q296,449
02M414,450
19K507,450
11X508,453
17K546,454
29Q498,454
02M439,456
10X549,456
02M376,457
08X561,457
21K620,458
02M411,460
02M546,460
06M462,460
06M468,463
07X600,463
09X260,463
01M448,465
08X293,465
09X568,465
03M492,466
08X320,466
28Q325,467
29Q272,468
28Q328,469
10X268,470
12X682,473
28Q687,473
02M437,476
11X299,476
02M519,478
12X388,478
19K422,478
13K527,480
17K537,480
04M610,481
29Q265,483
02M534,487
10X374,488
10X237,489
02M374,491
07X495,491
07X670,491
12X684,491
02M407,492
10X353,495
31R047,495
04M555,496
07X259,496
14K586,496
19K409,496
02M412,498
28Q690,498
32K545,498
02M580,499
05M692,500
11X542,501
03M494,504
07X522,504
07X500,508
24Q520,510
09X231,511
28Q350,511
30Q258,511
14K488,512
07X527,513
07X548,515
02M542,517
09X324,522
02M425,523
10X342,523
06M552,524
24Q530,527
24Q293,529
29Q327,531
02M551,534
14K071,534
02M298,537
30Q580,540
02M416,541
17K543,541
06M467,544
19K404,546
05M670,547
08X452,553
10X351,553
20K609,556
25Q240,558
04M372,559
13K419,562
28Q896,563
02M408,565
30Q286,565
30Q301,565
14K558,566
02M529,567
25Q285,567
11X275,569
02M655,574
25Q252,576
12X267,579
09X525,583
29Q259,583
15K519,584
02M422,586
01M696,588
29Q283,588
07X551,590
17K122,592
16K498,594
24Q264,598
06M293,602
02M260,604
10X243,607
10X225,608
08X558,609
09X241,616
11X288,616
27Q308,621
22K555,622
24Q299,623
15K497,632
21K344,639
27Q309,639
08X269,643
28Q284,646
23K644,647
25Q281,649
15K464,654
21K468,657
07X221,659
24Q560,665
02M418,666
12X271,671
28Q310,671
15K684,672
14K561,676
14K449,678
15K448,681
12X242,682
01M450,683
07X223,684
08X367,686
28Q680,690
05M362,702
06M346,703
19K615,713
18K563,730
08X405,732
09X327,734
02M489,738
02M413,750
13K605,756
25Q670,756
14K474,766
09X505,771
31R600,792
24Q550,812
06M348,815
30Q501,831
28Q167,841
13K670,844
15K656,867
14K478,872
27Q262,888
30Q555,911
21K690,942
10X368,1003
30Q502,1007
22K535,1011
27Q650,1027
30Q575,1038
26Q566,1073
25Q525,1141
26Q435,1174
02M400,1194
24Q585,1196
10X440,1203
17K600,1221
15K667,1230
17K590,1257
20K485,1278
31R080,1313
31R605,1320
05M499,1362
06M540,1375
27Q323,1376
03M479,1380
02M630,1447
10X141,1513
24Q600,1546
31R445,1549
02M600,1590
04M435,1625
27Q475,1681
25Q460,1692
01M539,1734
24Q485,1775
02M420,1819
24Q455,1921
21K410,1998
11X455,2000
28Q620,2133
30Q450,2256
27Q480,2281
21K540,2309
30Q445,2394
31R450,2587
03M485,2809
10X445,2995
26Q495,3024
31R440,3045
20K505,3061
31R460,3284
02M475,3336
28Q505,3367
20K445,3563
25Q425,3601
22K425,3657
26Q415,3699
28Q440,3783
21K525,3789
31R455,3808
22K405,4058
26Q430,4557
20K490,4582
13K430,5838
