DBN,MIX_RATE
02M316,0.24
11X249,0.26
13K350,0.26
28Q680,0.26
13K499,0.38
25Q285,0.39
11X270,0.4
11X418,0.4
02M529,0.41
02M414,0.42
17K751,0.44
27Q314,0.44
02M374,0.45
02M296,0.46
02M399,0.49
08X282,0.49
13K595,0.49
18K576,0.49
29Q327,0.49
03M494,0.5
11X514,0.5
29Q248,0.5
02M288,0.51
10X565,0.51
11X265,0.51
12X251,0.51
27Q260,0.52
02M439,0.53
11X299,0.53
13K527,0.53
23K697,0.53
24Q267,0.53
09X413,0.54
02M047,0.55
02M305,0.55
11X544,0.55
11X545,0.55
08X348,0.56
08X559,0.56
09X525,0.56
09X543,0.56
15K519,0.56
27Q351,0.56
02M425,0.57
11X290,0.57
24Q293,0.57
28Q687,0.57
28Q690,0.57
29Q492,0.57
06M293,0.58
10X237,0.58
12X684,0.58
14K614,0.58
16K498,0.58
18K633,0.58
22K555,0.58
05M670,0.59
08X367,0.59
09X324,0.59
09X404,0.59
27Q324,0.59
03M860,0.6
08X452,0.6
10X284,0.6
12X248,0.6
16K765,0.6
27Q400,0.6
32K403,0.6
02M655,0.61
05M304,0.61
08X320,0.61
10X438,0.61
15K592,0.61
17K548,0.61
31R064,0.61
10X225,0.62
19K683,0.62
29Q498,0.62
07X500,0.63
21K690,0.63
30Q258,0.63
01M509,0.64
02M500,0.64
21K559,0.64
26Q315,0.64
29Q259,0.64
30Q580,0.64
32K549,0.64
05M157,0.65
07X473,0.65
08X558,0.65
09X517,0.65
13K419,0.65
25Q240,0.65
26Q566,0.65
28Q310,0.65
02M419,0.66
02M615,0.66
08X349,0.66
08X561,0.66
10X213,0.66
15K429,0.66
18K617,0.66
18K637,0.66
02M135,0.67
02M545,0.67
07X522,0.67
08X376,0.67
12X271,0.67
12X478,0.67
15K464,0.67
17K382,0.67
17K590,0.67
32K556,0.67
02M300,0.68
02M531,0.68
03M299,0.68
03M417,0.68
06M211,0.68
14K454,0.68
17K600,0.68
18K642,0.68
31R047,0.68
02M519,0.69
02M543,0.69
03M402,0.69
08X432,0.69
09X263,0.69
09X412,0.69
12X511,0.69
12X521,0.69
18K629,0.69
19K409,0.69
20K445,0.69
25Q252,0.69
29Q272,0.69
06M462,0.7
13K670,0.7
15K463,0.7
21K348,0.7
24Q264,0.7
02M418,0.71
02M489,0.71
03M403,0.71
11X542,0.71
14K071,0.71
19K404,0.71
29Q326,0.71
02M422,0.72
02M533,0.72
08X269,0.72
08X530,0.72
09X231,0.72
09X241,0.72
10X524,0.72
17K528,0.72
17K539,0.72
19K660,0.72
20K609,0.72
21K468,0.72
29Q265,0.72
30Q575,0.72
01M448,0.73
02M408,0.73
02M520,0.73
03M492,0.73
06M348,0.73
06M463,0.73
09X250,0.73
10X264,0.73
15K448,0.73
18K567,0.73
19K502,0.73
29Q283,0.73
03M415,0.74
10X549,0.74
14K478,0.74
19K422,0.74
21K344,0.74
25Q670,0.74
28Q896,0.74
32K552,0.74
02M411,0.75
02M580,0.75
04M372,0.75
04M610,0.75
05M148,0.75
09X327,0.75
10X353,0.75
10X440,0.75
14K474,0.75
14K477,0.75
15K656,0.75
19K510,0.75
25Q460,0.75
32K168,0.75
02M413,0.76
02M437,0.76
07X259,0.76
10X243,0.76
10X368,0.76
12X479,0.76
13K412,0.76
13K605,0.76
16K688,0.76
19K764,0.76
26Q435,0.76
27Q650,0.76
28Q284,0.76
01M539,0.77
03M541,0.77
07X551,0.77
09X252,0.77
11X275,0.77
12X550,0.77
14K586,0.77
17K122,0.77
17K531,0.77
17K547,0.77
19K639,0.77
31R600,0.77
01M292,0.78
02M427,0.78
02M546,0.78
10X268,0.78
14K449,0.78
18K566,0.78
19K615,0.78
19K659,0.78
24Q485,0.78
24Q520,0.78
25Q281,0.78
29Q243,0.78
32K545,0.78
07X223,0.79
08X405,0.79
10X433,0.79
13K265,0.79
15K497,0.79
17K546,0.79
24Q550,0.79
30Q502,0.79
02M282,0.8
04M680,0.8
05M369,0.8
05M499,0.8
07X600,0.8
11X288,0.8
12X242,0.8
18K563,0.8
27Q262,0.8
27Q309,0.8
28Q350,0.8
30Q301,0.8
05M362,0.81
06M468,0.81
07X548,0.81
09X505,0.81
10X437,0.81
14K488,0.81
14K610,0.81
19K504,0.81
22K535,0.81
22K611,0.81
02M303,0.82
08X312,0.82
09X227,0.82
09X260,0.82
10X141,0.82
10X434,0.82
10X439,0.82
14K561,0.82
14K685,0.82
16K455,0.82
17K745,0.82
23K493,0.82
29Q313,0.82
30Q286,0.82
31R080,0.82
02M298,0.83
02M392,0.83
02M412,0.83
03M307,0.83
05M692,0.83
06M467,0.83
09X365,0.83
09X403,0.83
09X568,0.83
10X351,0.83
10X442,0.83
10X696,0.83
12X267,0.83
17K408,0.83
21K620,0.83
25Q425,0.83
27Q334,0.83
27Q480,0.83
28Q167,0.83
02M139,0.84
02M260,0.84
02M400,0.84
02M630,0.84
06M346,0.84
08X293,0.84
09X329,0.84
10X546,0.84
11X253,0.84
11X509,0.84
12X682,0.84
15K462,0.84
18K569,0.84
25Q241,0.84
02M280,0.85
02M393,0.85
02M438,0.85
02M449,0.85
02M534,0.85
07X527,0.85
19K583,0.85
20K485,0.85
21K410,0.85
32K554,0.85
02M308,0.86
02M459,0.86
02M507,0.86
02M542,0.86
07X221,0.86
07X670,0.86
09X297,0.86
17K537,0.86
17K543,0.86
20K505,0.86
21K540,0.86
24Q560,0.86
25Q263,0.86
27Q475,0.86
31R445,0.86
02M294,0.87
03M859,0.87
04M435,0.87
11X508,0.87
15K667,0.87
22K425,0.87
23K514,0.87
30Q445,0.87
30Q501,0.87
31R440,0.87
02M420,0.88
02M551,0.88
11X513,0.88
21K525,0.88
21K572,0.88
26Q495,0.88
27Q323,0.88
28Q620,0.88
30Q450,0.88
10X342,0.89
11X455,0.89
19K507,0.89
19K618,0.89
21K337,0.89
24Q600,0.89
27Q302,0.89
27Q308,0.89
30Q555,0.89
01M696,0.9
02M407,0.9
04M555,0.9
06M552,0.9
24Q455,0.9
26Q415,0.9
31R450,0.9
02M376,0.91
02M600,0.91
03M485,0.91
07X495,0.91
10X477,0.91
13K483,0.91
20K490,0.91
22K405,0.91
28Q440,0.91
31R455,0.91
04M495,0.92
07X334,0.92
07X427,0.92
09X564,0.92
13K439,0.92
15K684,0.92
17K524,0.92
24Q585,0.92
28Q325,0.92
10X374,0.93
24Q236,0.93
25Q525,0.93
28Q328,0.93
31R460,0.93
02M416,0.94
10X445,0.94
13K430,0.94
23K644,0.94
24Q299,0.94
26Q430,0.94
31R605,0.94
01M450,0.95
02M475,0.95
24Q296,0.95
03M479,0.96
06M540,0.96
12X388,0.96
28Q505,0.96
14K558,0.97
24Q530,0.98
13K674,0.85
