DBN,SAFETY_RATE
07X522,0.51
29Q327,0.63
10X565,0.64
11X290,0.64
17K600,0.64
28Q690,0.64
10X284,0.65
02M655,0.66
09X525,0.66
06M462,0.67
08X320,0.67
08X348,0.67
08X405,0.67
11X270,0.67
11X299,0.67
11X545,0.67
18K563,0.67
29Q498,0.67
08X558,0.68
09X412,0.68
10X440,0.68
12X248,0.68
21K348,0.68
10X524,0.69
26Q435,0.69
27Q260,0.69
03M494,0.7
08X367,0.7
10X438,0.7
11X544,0.7
18K617,0.7
09X231,0.71
10X237,0.71
11X265,0.71
17K590,0.71
20K445,0.71
23K697,0.71
29Q248,0.71
29Q259,0.71
06M463,0.72
14K478,0.72
17K539,0.72
18K567,0.72
18K576,0.72
02M374,0.73
07X600,0.73
02M422,0.74
03M860,0.74
05M304,0.74
08X282,0.74
12X684,0.74
16K498,0.74
32K549,0.74
09X413,0.75
09X543,0.75
10X243,0.75
17K528,0.75
22K425,0.75
26Q315,0.75
27Q324,0.75
27Q480,0.75
31R450,0.75
02M399,0.76
08X561,0.76
11X288,0.76
11X514,0.76
13K419,0.76
15K463,0.76
15K464,0.76
15K592,0.76
19K507,0.76
25Q460,0.76
27Q351,0.76
29Q492,0.76
02M288,0.77
05M499,0.77
08X349,0.77
08X376,0.77
12X521,0.77
13K527,0.77
17K382,0.77
18K566,0.77
18K637,0.77
19K502,0.77
19K615,0.77
19K639,0.77
19K683,0.77
25Q285,0.77
31R600,0.77
05M148,0.78
08X432,0.78
11X455,0.78
15K429,0.78
19K764,0.78
21K620,0.78
23K493,0.78
25Q425,0.78
30Q445,0.78
30Q450,0.78
03M492,0.79
06M467,0.79
09X404,0.79
10X213,0.79
13K605,0.79
14K610,0.79
17K408,0.79
18K569,0.79
21K468,0.79
21K690,0.79
24Q485,0.79
26Q495,0.79
28Q310,0.79
02M520,0.8
02M529,0.8
04M680,0.8
06M468,0.8
07X551,0.8
08X293,0.8
09X227,0.8
14K071,0.8
14K474,0.8
14K488,0.8
17K537,0.8
18K629,0.8
20K490,0.8
21K540,0.8
22K405,0.8
25Q240,0.8
26Q566,0.8
27Q475,0.8
29Q265,0.8
32K403,0.8
02M316,0.81
02M533,0.81
07X259,0.81
08X559,0.81
09X241,0.81
09X505,0.81
10X141,0.81
11X418,0.81
14K586,0.81
16K455,0.81
16K765,0.81
18K642,0.81
19K510,0.81
19K660,0.81
24Q267,0.81
26Q415,0.81
27Q309,0.81
31R440,0.81
31R445,0.81
31R455,0.81
02M300,0.82
02M427,0.82
08X269,0.82
08X452,0.82
10X264,0.82
11X509,0.82
11X542,0.82
12X271,0.82
12X479,0.82
12X511,0.82
13K350,0.82
14K477,0.82
20K505,0.82
21K344,0.82
21K559,0.82
24Q600,0.82
25Q252,0.82
25Q670,0.82
28Q680,0.82
29Q272,0.82
31R080,0.82
32K552,0.82
02M437,0.83
02M489,0.83
02M534,0.83
03M299,0.83
05M670,0.83
07X473,0.83
07X527,0.83
08X312,0.83
09X250,0.83
09X517,0.83
10X225,0.83
10X353,0.83
10X439,0.83
11X275,0.83
12X550,0.83
13K499,0.83
13K670,0.83
15K462,0.83
17K122,0.83
21K337,0.83
27Q400,0.83
29Q283,0.83
29Q313,0.83
30Q502,0.83
31R460,0.83
02M305,0.84
02M400,0.84
04M372,0.84
05M369,0.84
09X403,0.84
10X268,0.84
10X433,0.84
10X549,0.84
11X253,0.84
13K483,0.84
15K519,0.84
17K547,0.84
17K548,0.84
21K410,0.84
28Q440,0.84
32K168,0.84
02M419,0.85
02M531,0.85
02M580,0.85
03M417,0.85
09X324,0.85
09X329,0.85
09X568,0.85
10X368,0.85
10X546,0.85
11X508,0.85
13K265,0.85
14K561,0.85
15K497,0.85
16K688,0.85
17K531,0.85
19K409,0.85
23K514,0.85
24Q236,0.85
24Q455,0.85
28Q350,0.85
30Q258,0.85
02M135,0.86
02M139,0.86
02M280,0.86
02M282,0.86
02M308,0.86
02M425,0.86
02M600,0.86
05M157,0.86
09X252,0.86
10X351,0.86
12X251,0.86
14K614,0.86
15K448,0.86
17K524,0.86
17K546,0.86
17K745,0.86
20K609,0.86
21K525,0.86
29Q243,0.86
02M438,0.87
02M546,0.87
06M348,0.87
06M540,0.87
07X500,0.87
09X564,0.87
10X442,0.87
11X513,0.87
13K412,0.87
15K656,0.87
17K751,0.87
18K633,0.87
19K404,0.87
22K611,0.87
25Q263,0.87
27Q262,0.87
28Q620,0.87
28Q896,0.87
29Q326,0.87
32K545,0.87
32K556,0.87
02M296,0.88
02M392,0.88
02M393,0.88
03M403,0.88
06M211,0.88
07X548,0.88
07X670,0.88
08X530,0.88
10X342,0.88
11X249,0.88
12X682,0.88
14K454,0.88
17K543,0.88
19K422,0.88
19K504,0.88
21K572,0.88
27Q314,0.88
27Q650,0.88
30Q555,0.88
01M509,0.89
01M539,0.89
