Buffer_ID,class
QN1325013,15000-20000
BX501926,30000-40000
MN162236,over 60000
SI254211,10000-15000
SI623374,under 10000
BX24629,over 60000
BK195248,over 60000
BK192762,over 60000
SI6751179,under 10000
SI44743,15000-20000
SI498521,10000-15000
BK566416,over 60000
QN1022676,20000-30000
SI155244,10000-15000
QN135085,40000-50000
QN23291,20000-30000
BK32833,40000-50000
QN82416,10000-15000
BX455318,40000-50000
SI53110,15000-20000
BK362825,30000-40000
BK380149,40000-50000
QN4486159,10000-15000
BK164237,40000-50000
QN242317,20000-30000
BX386749,over 60000
BX402518,40000-50000
SI2847166,10000-15000
BK559550,over 60000
SI1116139,10000-15000
SI2390318,10000-15000
QN280865,20000-30000
BK176321,40000-50000
QN93923,40000-50000
SI669926,under 10000
BX404549,30000-40000
SI526632,10000-15000
SI749972,under 10000
SI788521,under 10000
QN200970,40000-50000
QN157114,30000-40000
QN11562175,10000-15000
BX2865120,over 60000
QN6866360,15000-20000
SI298199,15000-20000
BK349947,40000-50000
SI8524,15000-20000
SI1188119,10000-15000
BX58532215,15000-20000
SI552043,15000-20000
BK544259,40000-50000
QN611913,10000-15000
BK163325,40000-50000
BK154922,40000-50000
SI461654,15000-20000
SI4542,20000-30000
QN88942,30000-40000
SI60311,15000-20000
SI89550,under 10000
QN12992128,15000-20000
QN1226922,20000-30000
BX26923,40000-50000
SI735552,under 10000
SI697974,under 10000
BX469263,40000-50000
SI101562,under 10000
QN138137,40000-50000
SI796517,under 10000
BX2523131,over 60000
BX447249,20000-30000
BX445730,30000-40000
SI287355,20000-30000
SI1236123,10000-15000
BK255140,30000-40000
BK508322,over 60000
QN269136,15000-20000
QN107775,15000-20000
SI843150,under 10000
BX351147,30000-40000
SI4613102,10000-15000
SI11443,15000-20000
QN725162,under 10000
BX554356,20000-30000
SI1318124,under 10000
MN28311,over 60000
BK201669,40000-50000
QN1155294,10000-15000
BK187130,40000-50000
QN60687,under 10000
BK816554,20000-30000
BX255780,40000-50000
BK17471,over 60000
SI311176,15000-20000
QN950753,30000-40000
SI286914,20000-30000
BK148915,40000-50000
QN12545415,20000-30000
SI22179,15000-20000
SI7459106,under 10000
BK710864,30000-40000
QN24444,30000-40000
BX238950,over 60000
QN130911,40000-50000
BX315661,over 60000
SI226028,under 10000
BX468361,40000-50000
BX469524,40000-50000
QN802275,under 10000
SI6146181,under 10000
BX498977,20000-30000
BK13717,over 60000
QN129844,15000-20000
QN1201138,20000-30000
MN16435,over 60000
SI509321,15000-20000
BX453433,20000-30000
SI126190,10000-15000
BX4440147,40000-50000
